
2024/11/30 (14:18:48) | ===> btop++ v.1.4.0
2024/11/30 (14:18:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/30 (14:18:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/11/30 (14:18:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/30 (14:18:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/11/30 (14:18:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/11/30 (14:18:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/02 (15:38:29) | ===> btop++ v.1.4.0
2024/12/02 (15:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/02 (15:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/02 (15:38:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/02 (15:38:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/02 (15:38:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/02 (15:38:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/04 (09:29:14) | ===> btop++ v.1.4.0
2024/12/04 (09:29:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (09:29:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/04 (09:29:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (09:29:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/04 (09:29:14) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/12/04 (09:29:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/04 (12:13:22) | ===> btop++ v.1.4.0
2024/12/04 (12:13:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (12:13:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/12/04 (12:13:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (12:13:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/12/04 (12:13:22) | WARNING: ROCm SMI: Failed to get GPU power usage
